linear,700,900,1100,1300,1500
6,0.00274,0.00255,0.00251,0.00245,0.00239
7,0.00249,0.00245,0.00236,0.00215,0.00224
8,0.00224,0.00202,0.00200,0.00191,0.00189
9,0.00213,0.00193,0.00202,0.00172,0.00162
10,0.00191,0.00172,0.00167,0.00155,0.00152
