linear,700,900,1100,1300,1500
6,0.01049,0.00967,0.00923,0.00862,0.00844
7,0.00930,0.00847,0.00818,0.00773,0.00729
8,0.00899,0.00801,0.00759,0.00692,0.00675
9,0.00805,0.00755,0.00707,0.00661,0.00629
10,0.00825,0.00728,0.00617,0.00610,0.00606
