linear,1500,1600,1700,2000
12,0.00643,0.00540,0.00541,0.00514
13,0.00588,0.00528,0.00531,0.00533
14,0.00546,0.00532,0.00595,0.00561
15,0.00634,0.00581,0.00542,0.00645
