dropout,0,1,2,3,4
0.1,0.0063633,0.0062567,0.00601,0.0055567,0.00517
0.2,0.0079933,0.0085733,0.00757,0.0063633,0.00618
0.3,0.0089033,0.0089733,0.0079,0.00693,0.0080333
0.4,0.010763,0.01023,0.01014,0.0093433,0.0103
0.5,0.0125,0.011803,0.010897,0.01149,0.011047
