linear,200,300,400,500,600
6,0.00288,0.00289,0.00285,0.00278,0.00266
7,0.00274,0.00280,0.00266,0.00254,0.00255
8,0.00278,0.00271,0.00258,0.00241,0.00232
9,0.00269,0.00252,0.00225,0.00224,0.00209
10,0.00264,0.00252,0.00247,0.00223,0.00207
