linear,200,300,400,500,600,700,800,900
6,0.00011,0.00014333,0.00011333,0.00010667,8e-05,0.00011333,9.3333e-05,9e-05
7,8.6667e-05,0.00011,5.6667e-05,6e-05,5.6667e-05,7.6667e-05,6.3333e-05,8e-05
8,7.6667e-05,5.6667e-05,5.3333e-05,6.3333e-05,6.6667e-05,7.3333e-05,7e-05,6e-05
9,7e-05,7e-05,6e-05,6.3333e-05,7e-05,7.3333e-05,3e-05,4.3333e-05
