lr,0.0001,0.0005,5e-05
0.0001,2.3333e-05,2.3333e-05,2.6667e-05
0.0005,4e-05,5.6667e-05,4.3333e-05
5e-05,3.6667e-05,2.3333e-05,4.3333e-05
